Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05469285845425641,0.06273599842731936,0.05469285845425641,0.06005454063415527,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.060054532575956526,0.06327215815536513,0.060054532575956526,0.06219920516014099,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.062199217514150466,0.06380833897502444,0.062199217514150466,0.06327217072248459,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06327216022248527,0.06380832838604816,0.06112687086508167,0.06166303902864456,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.0616630583295871,0.0621992266609742,0.0600545533354258,0.0605907216668129,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.060590724619581926,0.060590724619581926,0.05844605118951711,0.05898221954703331,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05898218811500633,0.060054524258583195,0.05630134775606418,0.05737368389964104,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05737367455744192,0.05737367455744192,0.055229002619506765,0.055765170603990555,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.055765207173005496,0.0568375438451767,0.055229038836919896,0.0568375438451767,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05683753741342796,0.05898221051507867,0.056301369138015284,0.058446042239665985,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05844603071274269,0.05951836705207825,0.05844603071274269,0.05951836705207825,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05951838790454952,0.05951838790454952,0.0579098828320009,0.05898221954703331,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05898221051507867,0.05898221051507867,0.05844604223966599,0.058446042239665985,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05844605118951711,0.06005455626206572,0.05844605118951711,0.05898221954703331,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05951836705207825,0.0611268715610816,0.05951836705207825,0.05951836705207825,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05951836705207825,0.06005453522174603,0.05951836705207825,0.05951836705207825,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05951837879049134,0.06005454706590402,0.057373705688840634,0.058446042239665985,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05844605118951711,0.06005455626206572,0.05844605118951711,0.05898221954703331,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.0589822041981755,0.06059070885214516,0.0589822041981755,0.06005454063415527,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.0600545533354258,0.061126889998200006,0.0589822166726516,0.0605907216668129,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06112687086508167,0.06273599205892239,0.06112687086508167,0.06166303902864456,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.061663037014094875,0.06273599000931901,0.061663037014094875,0.06219920516014099,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06219920516014099,0.06219920516014099,0.060054532575956526,0.06219920516014099,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.062199220615670826,0.06488067871533355,0.06166305233639531,0.06434451043605804,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06434450830602802,0.06488067656755447,0.06434450830602802,0.06488067656755447,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.0648806545578056,0.0648806545578056,0.06219919745655103,0.06273598223924637,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06273598223924637,0.06327215031888617,0.06112686129727141,0.06273598223924637,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.06273599205892239,0.06273599205892239,0.06166303902864456,0.06166303902864456,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.061663032889850485,0.06219920100003576,0.06112686477966521,0.06193111464381218,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.061931140829575994,0.06917003238205145,0.06166305896226375,0.06809769570827484,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06863385598811154,0.07533657841685408,0.06863385598811154,0.07238765060901642,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.0723876706697204,0.07346000751478887,0.07185088554373625,0.07292383909225464,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07292380072962182,0.07292380072962182,0.07024234332412067,0.0707785114645958,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.07077854050320175,0.0713147088636529,0.06756153034049484,0.0691700354218483,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06917003238205145,0.06917003238205145,0.06702535903449823,0.06809769570827484,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06809769570827484,0.06917003238205145,0.06756152737138654,0.06809769570827484,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.06809766038262666,0.06809766038262666,0.06756149232387543,0.06756149232387543,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06809769570827484,0.06917003238205145,0.06809769570827484,0.06809769570827484,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06809769570827484,0.06863386404516315,0.06702535903449823,0.06809769570827484,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.06809768612773491,0.06863385438919067,0.06756151786627915,0.06863385438919067,3542400,0.0,0.0
